permno,ticker,company,position_type,months_held,avg_monthly_return,total_contribution,win_rate,avg_predicted_eps,avg_actual_eps,first_date,last_date,eps_prediction_error,eps_direction_correct
91603,AFSI,AMTRUST FIN SERV,SHORT,2,-0.0229624086,-0.0459248172,0.5,-14.552335548609449,0.56,2015-12-01,2017-07-01,15.11233554860945,False
83443,BRK.B,BERKSHIRE HATHA,LONG,90,0.009504194599999998,0.8553775139999998,0.5555555555555556,19.88919636391431,2.533777777777778,2016-01-01,2023-10-01,17.35541858613653,True
80864,RS,RELIANCE DE,LONG,4,0.01941266385,0.0776506554,0.5,12.846171418159077,1.0025,2016-01-01,2018-12-01,11.843671418159078,True
22752,MRK,"MERCK & CO., INC",LONG,68,0.011826105985294117,0.804175207,0.5882352941176471,15.613828305660022,1.1992647058823527,2016-01-01,2023-10-01,14.414563599777669,True
84032,NOV,NATIONAL OILWELL,LONG,1,-0.028466698,-0.028466698,0.0,13.395659743779674,0.23,2016-01-01,2016-01-01,13.165659743779674,True
92778,DISCK,DISCOVERY,LONG,10,0.024445855840000003,0.24445855840000003,0.7,12.035043806726492,0.453,2016-01-01,2020-04-01,11.582043806726492,True
15134,JUNO,JUNO,SHORT,15,0.006434902606666658,0.09652353909999987,0.4666666666666667,-27.129796608299408,-0.6653333333333334,2016-01-01,2017-10-01,26.464463274966075,True
79915,NFX,NEWFIELD EXPLRTN,SHORT,15,-0.012335317619999996,-0.18502976429999993,0.4666666666666667,-17.623224964666488,0.3506666666666668,2016-01-01,2017-03-01,17.973891631333153,False
87487,BGCP,BGC PARTNERS,SHORT,8,0.058227335962499994,0.46581868769999996,0.75,-16.17035685274602,0.2475,2016-01-01,2018-12-01,16.41785685274602,False
14231,VEEV,VEEVA SYSTEMS IN,SHORT,42,-0.040971430433333345,-1.7208000782000004,0.35714285714285715,-16.036447835429836,0.320952380952381,2016-01-01,2020-01-01,16.357400216382217,False
14641,ZEN,ZENDESK,SHORT,15,-0.001575268146666663,-0.023629022199999947,0.26666666666666666,-16.065175114302495,-0.018666666666666675,2016-01-01,2018-09-01,16.046508447635826,True
14167,OPHT,OPHTHOTECH CORP,SHORT,4,-0.024569265999999992,-0.09827706399999997,0.5,-25.750837907276345,-0.6225,2016-01-01,2023-04-01,25.128337907276347,True
14432,ITCI,ITI,SHORT,15,0.013460531046666667,0.2019079657,0.6666666666666666,-23.57793209872044,-0.6240000000000001,2016-01-01,2023-10-01,22.95393209872044,True
49680,DHR,DANAHER,LONG,61,0.01930075613114754,1.1773461239999998,0.639344262295082,15.817324732968334,1.91327868852459,2016-02-01,2023-12-01,13.904046044443744,True
20626,DOW,DOW,LONG,10,0.033519906499999995,0.33519906499999996,0.7,13.91417251088574,0.9469999999999998,2016-02-01,2017-02-01,12.96717251088574,True
13730,PBF,PBF ENERGY INC,SHORT,2,-0.00682076475,-0.0136415295,0.5,-17.04399488716936,4.965,2016-02-01,2022-05-01,22.00899488716936,False
86582,STL,STERLING BANCORP,SHORT,13,0.029748729046153846,0.3867334776,0.6153846153846154,-13.748501310474406,0.44846153846153836,2016-02-01,2018-10-01,14.196962848935945,False
15092,LC,LENDINGCLUB,SHORT,4,0.050774489199999995,0.20309795679999998,0.75,-18.559283004468732,0.255,2016-02-01,2021-11-01,18.81428300446873,False
89509,XEC,CIMAREX ENERGY,SHORT,1,0.094931197,0.094931197,1.0,-15.642901946886347,-0.4,2016-02-01,2016-02-01,15.242901946886347,True
93189,CBPO,CHINA BIOLOGIC P,SHORT,1,0.111449737,0.111449737,1.0,-16.791661695670285,0.59,2016-02-01,2016-02-01,17.381661695670285,False
14686,NSAM,NORTHSTAR ASSET,SHORT,1,0.053059589,0.053059589,1.0,-17.943622411778765,1.08,2016-02-01,2016-02-01,19.023622411778767,False
92102,SCOR,COMSCORE INC,SHORT,2,0.10119440794999998,0.20238881589999996,0.5,-17.90657883468755,-5.2,2016-02-01,2016-03-01,12.706578834687551,True
12060,GE,GE,LONG,30,-0.01324643773,-0.3973931319,0.3,15.440252603663623,2.0393333333333334,2016-03-01,2023-12-01,13.40091927033029,True
18163,PG,PROCTER GAMBLE,LONG,89,0.00966139099775281,0.8598637988000001,0.6292134831460674,16.982980704105074,1.2675280898876404,2016-03-01,2023-12-01,15.715452614217433,True
14954,DPLO,DIPLOMAT,SHORT,1,0.230969217,0.230969217,1.0,-15.63387356086074,0.23,2016-03-01,2016-03-01,15.86387356086074,False
87137,DVN,DEVON ENERGY,SHORT,11,-0.08682463943636363,-0.9550710337999999,0.2727272727272727,-15.905756288173233,0.02727272727272726,2016-03-01,2017-02-01,15.93302901544596,False
90776,WAL,WEST ALLNCE,SHORT,1,-0.0957658084,-0.0957658084,0.0,-14.125662993413648,0.6,2016-04-01,2016-04-01,14.725662993413648,False
93422,QEP,QEP RESOURCES,SHORT,13,0.0054595572923076836,0.07097424479999989,0.5384615384615384,-15.230932547387486,-0.21,2016-04-01,2017-04-01,15.020932547387485,True
78081,LGND,LIGAND PHARMA,SHORT,17,0.009441794999999996,0.16051051499999994,0.5294117647058824,-15.193931628390635,1.408235294117647,2016-04-01,2019-01-01,16.60216692250828,False
12622,HCA,HCA HOLDINGS INC,LONG,27,0.018228005092592595,0.49215613750000003,0.5185185185185185,13.754002858136172,1.914074074074074,2016-05-01,2018-11-01,11.839928784062097,True
14634,PE,PARSLEY ENERGY,SHORT,7,0.0021977170428571402,0.015384019299999982,0.5714285714285714,-14.231955358890769,0.07428571428571429,2016-05-01,2017-06-01,14.306241073176484,False
78877,CHK,CHESAPEAKE ENRGY,SHORT,17,0.028532348882352947,0.4850499310000001,0.7058823529411765,-17.995133238016912,16.11764705882353,2016-05-01,2017-10-01,34.11278029684044,False
14409,RICE,RICE ENERGY INC,SHORT,15,-0.04367463305333333,-0.6551194958,0.4666666666666667,-14.948717658365146,0.14566666666666664,2016-05-01,2017-08-01,15.094384325031813,False
91977,BGS,B&G FOODS INC,SHORT,1,-0.0430934632,-0.0430934632,0.0,-17.56711073758648,0.57,2016-05-01,2016-05-01,18.13711073758648,False
14988,LBRDK,LIBERTY BRODBAND,SHORT,17,-0.01866072177058823,-0.31723227009999994,0.35294117647058826,-18.90356287118415,3.068235294117647,2016-05-01,2018-05-01,21.9717981653018,False
13141,WPX,WPX ENERGY INC,SHORT,21,-0.01872526077142857,-0.39323047619999996,0.5238095238095238,-16.695013753646432,-0.13952380952380955,2016-05-01,2020-05-01,16.555489944122623,True
10629,FNB,FNB CORP,SHORT,15,-0.003623001566666666,-0.05434502349999999,0.6,-13.929706557168824,0.23000000000000007,2016-06-01,2018-01-01,14.159706557168825,False
14703,MRD,MEM RESOURCE DEV,SHORT,1,-0.0048632861,-0.0048632861,0.0,-15.89435314645744,0.1,2016-06-01,2016-06-01,15.99435314645744,False
14464,NGHC,NATIONAL GENERAL,SHORT,1,0.037081462,0.037081462,1.0,-16.316305451241842,0.43,2016-07-01,2016-07-01,16.74630545124184,False
13456,TSRO,TESARO INC,SHORT,22,0.014166402568181819,0.3116608565,0.5909090909090909,-37.41874325497794,-2.355909090909091,2016-07-01,2018-04-01,35.062834164068846,True
70519,C,CITIGROUP INC,LONG,50,0.007862194420000001,0.393109721,0.52,14.410212503809028,1.7437999999999996,2016-08-01,2021-12-01,12.666412503809028,True
85198,OZRK,BK OF OZARKS,SHORT,5,-0.026165563019999998,-0.1308278151,0.4,-14.056544211604953,0.714,2016-08-01,2017-04-01,14.770544211604953,False
63765,SWN,SWESTN ENERGY,SHORT,12,0.0729877926,0.8758535112,0.75,-15.799447680020997,0.09333333333333332,2016-08-01,2021-10-01,15.89278101335433,False
24441,CDE,COEUR MINING,SHORT,1,0.168607306,0.168607306,1.0,-22.845576975026603,0.23,2016-08-01,2016-08-01,23.075576975026603,False
79545,BWA,BORGWARNER INC,LONG,2,0.02955471765,0.0591094353,1.0,12.877558389197068,0.845,2016-09-01,2017-02-01,12.032558389197067,True
15315,GDDY,GODADDY,SHORT,1,-0.066198941,-0.066198941,0.0,-14.634939740376597,0.05,2016-09-01,2016-09-01,14.684939740376597,False
62341,PDCE,PDC ENERGY,SHORT,6,0.017405660500000007,0.10443396300000003,0.5,-14.507589441635714,0.041666666666666664,2016-09-01,2017-07-01,14.54925610830238,False
76644,X,U S STEEL,LONG,2,0.12017344910000001,0.24034689820000002,0.5,20.906686694657175,0.87,2022-11-01,2022-12-01,20.036686694657174,True
76644,X,U S STEEL,SHORT,12,-0.049133772025,-0.5896052643,0.4166666666666667,-15.61371925573031,0.27083333333333337,2016-09-01,2017-08-01,15.884552589063643,False
15390,FIT,FITBIT,SHORT,1,0.041543629,0.041543629,1.0,-16.812923718945658,0.19,2016-09-01,2016-09-01,17.00292371894566,False
78170,SM,SM ENERGY CO,SHORT,9,0.02376107203333333,0.21384964829999997,0.5555555555555556,-17.58945642383624,0.10666666666666666,2016-09-01,2022-03-01,17.696123090502905,False
13253,SLCA,US SILICA HOLDIN,SHORT,11,0.02018430910909091,0.2220274002,0.6363636363636364,-18.547070468393603,0.07090909090909091,2016-09-01,2017-07-01,18.617979559302693,False
88159,EXEL,EXELIXIS,SHORT,42,-0.023565910176190478,-0.9897682274,0.5,-22.55470873118607,0.2173809523809524,2016-09-01,2020-05-01,22.772089683567025,False
15046,NVRO,NEVRO,SHORT,10,-0.019537151270000004,-0.19537151270000003,0.4,-25.570065918581886,-0.493,2016-09-01,2020-05-01,25.077065918581887,True
92765,RAX,RACKSPACE HOSTIN,LONG,1,0.0076889234,0.0076889234,1.0,13.777408933719885,0.3,2016-10-01,2016-10-01,13.477408933719884,True
77281,WFM,WHOLE FOODS,LONG,1,-0.002316383,-0.002316383,0.0,12.710739063715083,0.28,2016-10-01,2016-10-01,12.430739063715084,True
50017,RRC,RANGE RESOURCE,SHORT,7,0.01884511414285714,0.13191579899999997,0.7142857142857143,-18.467626579724367,0.6085714285714285,2016-10-01,2022-06-01,19.076198008295798,False
85002,SRPT,SAREPTA THERAPEU,SHORT,43,-0.009707930416279077,-0.4174410079000003,0.4883720930232558,-25.29478357103209,-1.5499999999999998,2016-10-01,2023-10-01,23.74478357103209,True
65294,RLI,RLI CP,SHORT,1,-0.1165128293,-0.1165128293,0.0,-12.583832931720853,0.56,2016-11-01,2016-11-01,13.143832931720853,False
12645,ELLI,ELLIE MAE INC,SHORT,4,0.036247691500000005,0.14499076600000002,0.5,-13.932553932879392,0.4375,2016-11-01,2017-08-01,14.370053932879392,False
