year,month,date,long_portfolio,short_portfolio,long_short_return,long_holdings_count,short_holdings_count,total_holdings,rebalanced,rf,sp_ret,date_y
2015,12,2015-12-01,-0.022194830324,-0.013577894852,-0.008616935471999999,50,50,100,True,0.0001,-0.01753,2015-12-01
2016,1,2016-01-01,-0.065236437782,-0.041683495342000006,-0.023552942439999995,50,50,100,True,0.0001,-0.050735,2016-01-01
2016,2,2016-02-01,0.005227296616,0.0014088615999999997,0.0038184350160000006,50,50,100,True,0.0002,-0.004128,2016-02-01
2016,3,2016-03-01,0.08626227777,0.064577594102,0.021684683668000013,50,50,100,True,0.0002,0.065991,2016-03-01
2016,4,2016-04-01,0.036741508632,0.0060537076379999985,0.030687800994,50,50,100,True,0.0001,0.002699,2016-04-01
2016,5,2016-05-01,0.014234676134,0.00043192639599999913,0.013802749738000001,50,50,100,True,0.0001,0.015329,2016-05-01
2016,6,2016-06-01,-0.014766803088,0.024369364676000004,-0.039136167764,50,50,100,True,0.0002,0.000906,2016-06-01
2016,7,2016-07-01,0.06144400982199999,0.015646993388,0.045797016433999985,50,50,100,True,0.0002,0.03561,2016-07-01
2016,8,2016-08-01,0.026947562620000004,-0.008921509656,0.035869072276,50,50,100,True,0.0002,-0.001219,2016-08-01
2016,9,2016-09-01,0.007371719721999999,-0.009207847223999999,0.016579566945999998,50,50,100,True,0.0002,-0.001234,2016-09-01
2016,10,2016-10-01,-0.009933285760000002,-0.016849158976,0.006915873215999997,50,50,100,True,0.0002,-0.019426,2016-10-01
2016,11,2016-11-01,0.083664094836,0.046642468272,0.037021626564,50,50,100,True,0.0001,0.034174,2016-11-01
2016,12,2016-12-01,0.023905346204000005,0.01629572446,0.007609621744000004,50,50,100,True,0.0003,0.018201,2016-12-01
2017,1,2017-01-01,0.009772497584,0.014150642116,-0.004378144532,50,50,100,True,0.0004,0.017884,2017-01-01
2017,2,2017-02-01,0.041769175721999986,0.042380965487999994,-0.000611789766000008,50,50,100,True,0.0004,0.037198,2017-02-01
2017,3,2017-03-01,-0.008867211853999999,-0.006650493122000001,-0.0022167187319999983,50,50,100,True,0.0003,-0.000389,2017-03-01
2017,4,2017-04-01,0.0009793989720000007,0.01183509101,-0.010855692037999999,50,50,100,True,0.0005,0.009091,2017-04-01
2017,5,2017-05-01,0.0031926699459999997,0.003062279028000001,0.0001303909179999987,50,50,100,True,0.0006,0.011576,2017-05-01
2017,6,2017-06-01,0.016127261868000002,0.004104214046,0.012023047822000001,50,50,100,True,0.0006,0.004814,2017-06-01
2017,7,2017-07-01,0.028645366246,0.011931027745999996,0.016714338500000002,50,50,100,True,0.0007,0.019349,2017-07-01
2017,8,2017-08-01,-0.0167968308,0.0015860640460000008,-0.018382894846,50,50,100,True,0.0009,0.000546,2017-08-01
2017,9,2017-09-01,0.04967043847032,0.019181674062,0.03048876440832,50,50,100,True,0.0009,0.019303,2017-09-01
2017,10,2017-10-01,0.015008878768000005,0.013431507573999999,0.0015773711940000063,50,50,100,True,0.0009,0.022188,2017-10-01
2017,11,2017-11-01,0.02798736065,0.043461203378,-0.015473842728000002,50,50,100,True,0.0008,0.028083,2017-11-01
2017,12,2017-12-01,0.024168804264,0.01221568021,0.011953124054000001,50,50,100,True,0.0009,0.009832,2017-12-01
2018,1,2018-01-01,0.04281205445399999,0.052440828240000015,-0.009628773786000022,50,50,100,True,0.0012,0.056179,2018-01-01
2018,2,2018-02-01,-0.053812342693999995,-0.038687919174,-0.015124423519999992,50,50,100,True,0.0011,-0.038947,2018-02-01
2018,3,2018-03-01,-0.020891514434,-0.032235414228,0.011343899793999999,50,50,100,True,0.0011,-0.026885,2018-03-01
